data_set,family,image_biomarker,consensus,benchmark_value,benchmark_value_compare,tolerance,tolerance_compare,your_result,difference,check,tag
configuration A,Diagnostics-initial image,Image dimension x,≥ 10,204,204,0,0,,,,img_dim_x_init_img
configuration A,Diagnostics-initial image,Image dimension y,≥ 10,201,201,0,0,,,,img_dim_y_init_img
configuration A,Diagnostics-initial image,Image dimension z,≥ 10,60,60,0,0,,,,img_dim_z_init_img
configuration A,Diagnostics-initial image,Voxel dimension x,≥ 10,0.977,0.977,0,0,,,,vox_dim_x_init_img
configuration A,Diagnostics-initial image,Voxel dimension y,≥ 10,0.977,0.977,0,0,,,,vox_dim_y_init_img
configuration A,Diagnostics-initial image,Voxel dimension z,≥ 10,3,3,0,0,,,,vox_dim_z_init_img
configuration A,Diagnostics-initial image,Mean intensity,≥ 10,-266,-266,0,0,,,,mean_int_init_img
configuration A,Diagnostics-initial image,Minimum intensity,≥ 10,-1000,-1000,0,0,,,,min_int_init_img
configuration A,Diagnostics-initial image,Maximum intensity,6-9,3065,3065,0,0,,,,max_int_init_img
configuration A,Diagnostics-interpolated image,Image dimension x,6-9,204,204,1,1,,,,img_dim_x_interp_img
configuration A,Diagnostics-interpolated image,Image dimension y,6-9,201,201,1,1,,,,img_dim_y_interp_img
configuration A,Diagnostics-interpolated image,Image dimension z,6-9,60,60,0,0,,,,img_dim_z_interp_img
configuration A,Diagnostics-interpolated image,Voxel dimension x,6-9,0.977,0.977,0,0,,,,vox_dim_x_interp_img
configuration A,Diagnostics-interpolated image,Voxel dimension y,6-9,0.977,0.977,0,0,,,,vox_dim_y_interp_img
configuration A,Diagnostics-interpolated image,Voxel dimension z,6-9,3,3,0,0,,,,vox_dim_z_interp_img
configuration A,Diagnostics-interpolated image,Mean intensity,6-9,-266,-266,3,3,,,,mean_int_interp_img
configuration A,Diagnostics-interpolated image,Minimum intensity,6-9,-1000,-1000,0,0,,,,min_int_interp_img
configuration A,Diagnostics-interpolated image,Maximum intensity,6-9,3065,3065,40,40,,,,max_int_interp_img
configuration A,Diagnostics-initial ROI,Int. mask dimension x,6-9,204,204,0,0,,,,int_mask_dim_x_init_roi
configuration A,Diagnostics-initial ROI,Int. mask dimension y,6-9,201,201,0,0,,,,int_mask_dim_y_init_roi
configuration A,Diagnostics-initial ROI,Int. mask dimension z,6-9,60,60,0,0,,,,int_mask_dim_z_init_roi
configuration A,Diagnostics-initial ROI,Int. mask bounding box dimension x,6-9,100,100,0,0,,,,int_mask_bb_dim_x_init_roi
configuration A,Diagnostics-initial ROI,Int. mask bounding box dimension y,6-9,99,99,0,0,,,,int_mask_bb_dim_y_init_roi
configuration A,Diagnostics-initial ROI,Int. mask bounding box dimension z,6-9,26,26,0,0,,,,int_mask_bb_dim_z_init_roi
configuration A,Diagnostics-initial ROI,Morph. mask bounding box dimension x,6-9,100,100,0,0,,,,morph_mask_bb_dim_x_init_roi
configuration A,Diagnostics-initial ROI,Morph. mask bounding box dimension y,6-9,99,99,0,0,,,,morph_mask_bb_dim_y_init_roi
configuration A,Diagnostics-initial ROI,Morph. mask bounding box dimension z,6-9,26,26,0,0,,,,morph_mask_bb_dim_z_init_roi
configuration A,Diagnostics-initial ROI,Int. mask voxel count,6-9,125256,125256,0,0,,,,int_mask_vox_count_init_roi
